Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey",modified_qual
Bachelor of Engineering with Honours in Naval Architecture,SIT-Newcastle University,0.429,3244,3200,2600,3465,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Naval Architecture | SIT 2020,in Naval Architecture with Honours
Bachelor of Engineering with Honours in Offshore Engineering,SIT-Newcastle University,0.692,4160,4000,3750,4800,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Offshore Engineering | SIT 2020,in Offshore Engineering with Honours
Bachelor in Science (Diagnostic Radiography),SIT-Trinity College Dublin,1,3685,3650,3400,3859,SIT,2020,No,SIT GES 2020,Bachelor in Science (Diagnostic Radiography) | SIT 2020,Bachelor in Science (Diagnostic Radiography)
Bachelor in Science (Occupational Therapy),SIT-Trinity College Dublin,1,3542,3400,3364,3629,SIT,2020,No,SIT GES 2020,Bachelor in Science (Occupational Therapy) | SIT 2020,Bachelor in Science (Occupational Therapy)
Bachelor in Science (Physiotherapy),SIT-Trinity College Dublin,0.963,3518,3500,3400,3700,SIT,2020,No,SIT GES 2020,Bachelor in Science (Physiotherapy) | SIT 2020,Bachelor in Science (Physiotherapy)
Bachelor in Science (Radiation Therapy),SIT-Trinity College Dublin,0.833,3380,3500,3400,3500,SIT,2020,No,SIT GES 2020,Bachelor in Science (Radiation Therapy) | SIT 2020,Bachelor in Science (Radiation Therapy)
Bachelor of Engineering with Honours in Civil Engineering,SIT-University of Glasgow,0.787,3518,3500,3200,3700,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Civil Engineering | SIT 2020,in Civil Engineering with Honours
Bachelor of Science with Honours in Nursing,SIT-University of Glasgow,0.942,3725,3650,3405,4000,SIT,2020,No,SIT GES 2020,Bachelor of Science with Honours in Nursing | SIT 2020,in Nursing with Honours
Bachelor of Science in Chemical Engineering,Technische Universität München,0.489,3387,3175,2815,3650,SIT,2020,No,SIT GES 2020,Bachelor of Science in Chemical Engineering | SIT 2020,Chemical Engineering
Bachelor of Science in Electrical Engineering & Information Technology,Technische Universität München,0.395,3773,3600,3350,4000,SIT,2020,No,SIT GES 2020,Bachelor of Science in Electrical Engineering & Information Technology | SIT 2020,Electrical Engineering & Information Technology
Bachelor of Business Administration in Food Business Management,The Culinary Institute of America,0.667,2675,2550,2300,2820,SIT,2020,No,SIT GES 2020,Bachelor of Business Administration in Food Business Management | SIT 2020,Food Business Management
Bachelor of Arts with Honours in Communication Design,The Glasgow School of Art,0.381,2876,2800,2500,3000,SIT,2020,No,SIT GES 2020,Bachelor of Arts with Honours in Communication Design | SIT 2020,in Communication Design with Honours
Bachelor of Arts with Honours in Interior Design,The Glasgow School of Art,0.452,2992,2600,2500,3500,SIT,2020,No,SIT GES 2020,Bachelor of Arts with Honours in Interior Design | SIT 2020,in Interior Design with Honours
Bachelor of Engineering with Honours in Aeronautical Engineering,University of Glasgow,0.353,4159,3921,3400,5010,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Aeronautical Engineering | SIT 2020,in Aeronautical Engineering with Honours
Bachelor of Engineering with Honours in Aerospace Systems,University of Glasgow,0.379,3940,3750,3400,4600,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Aerospace Systems | SIT 2020,in Aerospace Systems with Honours
Bachelor of Engineering with Honours in Mechanical Design Engineering,University of Glasgow,0.533,3592,3500,3200,3650,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Mechanical Design Engineering | SIT 2020,in Mechanical Design Engineering with Honours
Bachelor of Engineering with Honours in Mechatronics,University of Glasgow,0.589,3690,3600,3200,4000,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Mechatronics | SIT 2020,in Mechatronics with Honours
Bachelor of Science with Honours in Computing Science,University of Glasgow,0.899,4530,5000,4000,5000,SIT,2020,No,SIT GES 2020,Bachelor of Science with Honours in Computing Science | SIT 2020,in Computing Science with Honours
Bachelor of Arts with Honours in Criminology & Security,University of Liverpool,0.684,3919,3700,3400,4300,SIT,2020,No,SIT GES 2020,Bachelor of Arts with Honours in Criminology & Security | SIT 2020,in Criminology & Security with Honours
Bachelor of Arts,Faculty of Arts & Social Sciences,0.7,3600,3200,2850,4100,NUS,2021,No,NUS GES 2021,Bachelor of Arts | NUS 2021,Arts
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.683,3731,3650,3400,3983,NUS,2021,No,NUS GES 2021,Bachelor of Arts (Hons) | NUS 2021,Arts
Bachelor of Social Sciences,Faculty of Arts & Social Sciences,0.782,3850,3600,3400,4100,NUS,2021,No,NUS GES 2021,Bachelor of Social Sciences | NUS 2021,Social Sciences
Bachelor of Dental Surgery,Faculty of Dentistry,1,4286,4200,4200,4600,NUS,2021,No,NUS GES 2021,Bachelor of Dental Surgery | NUS 2021,Dental Surgery
Bachelor of Engineering (Biomedical Engineering),Faculty of Engineering,0.833,3732,3600,3300,4000,NUS,2021,No,NUS GES 2021,Bachelor of Engineering (Biomedical Engineering) | NUS 2021,Biomedical Engineering
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.848,4023,3800,3600,4300,NUS,2021,No,NUS GES 2021,Bachelor of Engineering (Chemical Engineering) | NUS 2021,Chemical Engineering
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,0.973,3897,3700,3500,4100,NUS,2021,No,NUS GES 2021,Bachelor of Engineering (Civil Engineering) | NUS 2021,Civil Engineering
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.93,4377,4150,3900,4550,NUS,2021,No,NUS GES 2021,Bachelor of Engineering (Electrical Engineering) | NUS 2021,Electrical Engineering
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.684,4399,4500,4000,4900,NUS,2021,No,NUS GES 2021,Bachelor of Engineering (Engineering Science) | NUS 2021,Engineering Science
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.886,3607,3500,3300,3900,NUS,2021,No,NUS GES 2021,Bachelor of Engineering (Environmental Engineering) | NUS 2021,Environmental Engineering
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.918,4417,4500,4000,4900,NUS,2021,No,NUS GES 2021,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2021,Industrial & Systems Engineering
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.875,4020,3896,3600,4200,NUS,2021,No,NUS GES 2021,Bachelor of Engineering (Materials Science & Engineering) | NUS 2021,Materials Science & Engineering
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.895,4115,3875,3500,4550,NUS,2021,No,NUS GES 2021,Bachelor of Engineering (Mechanical Engineering) | NUS 2021,Mechanical Engineering
Bachelor of Laws,Faculty of Law,0.935,5627,5600,4500,6000,NUS,2021,No,NUS GES 2021,Bachelor of Laws | NUS 2021,Laws
Bachelor of Science,Faculty of Science,0.569,3627,3527,3100,4000,NUS,2021,No,NUS GES 2021,Bachelor of Science | NUS 2021,Science
Bachelor of Science (Hons),Faculty of Science,0.765,3767,3600,3400,4000,NUS,2021,No,NUS GES 2021,Bachelor of Science (Hons) | NUS 2021,Science
Bachelor of Science (Computational Biology),Faculty of Science,1,4677,4500,4000,5000,NUS,2021,No,NUS GES 2021,Bachelor of Science (Computational Biology) | NUS 2021,Computational Biology
Bachelor of Science (Pharmacy),Faculty of Science,0.919,3923,3915,3636,4200,NUS,2021,No,NUS GES 2021,Bachelor of Science (Pharmacy) | NUS 2021,Pharmacy
Bachelor of Science (Data Science & Analytics),Faculty of Science,0.953,4981,4800,4200,5400,NUS,2021,No,NUS GES 2021,Bachelor of Science (Data Science & Analytics) | NUS 2021,Data Science & Analytics
Bachelor of Business Administration,NUS Business School,0.816,5567,3700,3125,7625,NUS,2021,No,NUS GES 2021,Bachelor of Business Administration | NUS 2021,Administration
Bachelor of Business Administration (Hons),NUS Business School,0.935,4950,4347,3700,5200,NUS,2021,No,NUS GES 2021,Bachelor of Business Administration (Hons) | NUS 2021,Administration (Hons)
Bachelor of Business Administration (Accountancy),NUS Business School,1,3515,3400,3013,3750,NUS,2021,No,NUS GES 2021,Bachelor of Business Administration (Accountancy) | NUS 2021,Administration (Accountancy)
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.963,4194,3500,3200,4600,NUS,2021,No,NUS GES 2021,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2021,Administration (Accountancy) (Hons)
Bachelor of Computing (Computer Science),School of Computing,0.964,6002,6000,5000,6900,NUS,2021,No,NUS GES 2021,Bachelor of Computing (Computer Science) | NUS 2021,Computer Science
Bachelor of Computing (Information Security),School of Computing,1,5095,5400,4305,5500,NUS,2021,No,NUS GES 2021,Bachelor of Computing (Information Security) | NUS 2021,Information Security
Bachelor of Computing (Information Systems),School of Computing,0.962,5217,5000,4500,5400,NUS,2021,No,NUS GES 2021,Bachelor of Computing (Information Systems) | NUS 2021,Information Systems
Bachelor of Science (Business Analytics),School of Computing,1,5603,5400,4800,6125,NUS,2021,No,NUS GES 2021,Bachelor of Science (Business Analytics) | NUS 2021,Business Analytics
Bachelor of Arts (Architecture),School of Design & Environment,0.966,4139,4000,3600,4440,NUS,2021,No,NUS GES 2021,Bachelor of Arts (Architecture) | NUS 2021,Architecture
Bachelor of Arts (Industrial Design),School of Design & Environment,0.75,4178,3825,3200,4250,NUS,2021,No,NUS GES 2021,Bachelor of Arts (Industrial Design) | NUS 2021,Industrial Design
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.921,3560,3500,3200,3700,NUS,2021,No,NUS GES 2021,Bachelor of Science (Project & Facilities Management) | NUS 2021,Project & Facilities Management
Bachelor of Science (Real Estate),School of Design & Environment,0.824,3863,3700,3400,4000,NUS,2021,No,NUS GES 2021,Bachelor of Science (Real Estate) | NUS 2021,Real Estate
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,-1,-1,-1,-1,-1,NUS,2021,Suppressed,NUS GES 2021,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2021,Medicine & Bachelor of Surgery (MBBS)
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.933,3530,3550,3350,3750,NUS,2021,No,NUS GES 2021,Bachelor of Science (Nursing) | NUS 2021,Nursing
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,0.968,3750,3750,3550,3950,NUS,2021,No,NUS GES 2021,Bachelor of Science (Nursing) (Hons) | NUS 2021,Nursing (Hons)
Bachelor of Music,Yong Siew Toh Conservatory of Music,0.353,3203,3100,2915,3600,NUS,2021,No,NUS GES 2021,Bachelor of Music | NUS 2021,Music
Bachelor of Arts with Honours,Yale-NUS College,0.708,4453,4000,3500,5000,NUS,2021,No,NUS GES 2021,Bachelor of Arts with Honours | NUS 2021,Arts
Bachelor of Science with Honours,Yale-NUS College,0.838,4952,4500,3800,5650,NUS,2021,No,NUS GES 2021,Bachelor of Science with Honours | NUS 2021,Science
Bachelor of Engineering (Computer Engineering),Multidisciplinary Programme,0.912,5473,5400,4500,6200,NUS,2021,No,NUS GES 2021,Bachelor of Engineering (Computer Engineering) | NUS 2021,Computer Engineering
Bachelor of Environmental Studies,Multidisciplinary Programme,0.816,3658,3650,3100,3996,NUS,2021,No,NUS GES 2021,Bachelor of Environmental Studies | NUS 2021,Environmental Studies
Accountancy,Nanyang Business School,0.93,3539,3400,3100,3500,NTU,2021,No,NTU GES 2021,Accountancy | NTU 2021,Accountancy
Accountancy & Business,Nanyang Business School,0.962,5173,4500,3700,5858,NTU,2021,No,NTU GES 2021,Accountancy & Business | NTU 2021,Accountancy & Business
Business,Nanyang Business School,0.852,4362,4000,3500,4800,NTU,2021,No,NTU GES 2021,Business | NTU 2021,Business
Double Degree in Business & Computer Engineering/Computing,Nanyang Business School,0.875,6578,6300,5250,8225,NTU,2021,No,NTU GES 2021,Double Degree in Business & Computer Engineering/Computing | NTU 2021,Double Degree in Business & Computer Engineering/Computing
Aerospace Engineering,College of Engineering,0.873,4321,4471,3792,5000,NTU,2021,No,NTU GES 2021,Aerospace Engineering | NTU 2021,Aerospace Engineering
Bioengineering,College of Engineering,0.758,3654,3500,3300,3850,NTU,2021,No,NTU GES 2021,Bioengineering | NTU 2021,Bioengineering
Chemical & Biomolecular Engineering,College of Engineering,0.848,3959,3740,3600,4300,NTU,2021,No,NTU GES 2021,Chemical & Biomolecular Engineering | NTU 2021,Chemical & Biomolecular Engineering
Civil Engineering,College of Engineering,0.92,3664,3540,3400,3800,NTU,2021,No,NTU GES 2021,Civil Engineering | NTU 2021,Civil Engineering
Computer Engineering,College of Engineering,0.896,4847,4500,4000,5000,NTU,2021,No,NTU GES 2021,Computer Engineering | NTU 2021,Computer Engineering
Computer Science,College of Engineering,0.91,4924,4800,4200,5450,NTU,2021,No,NTU GES 2021,Computer Science | NTU 2021,Computer Science
Double Degree in Engineering & Economics,College of Engineering,0.909,4566,4583,4530,4900,NTU,2021,No,NTU GES 2021,Double Degree in Engineering & Economics | NTU 2021,Double Degree in Engineering & Economics
Electrical & Electronic Engineering,College of Engineering,0.886,4069,4000,3600,4400,NTU,2021,No,NTU GES 2021,Electrical & Electronic Engineering | NTU 2021,Electrical & Electronic Engineering
Environmental Engineering,College of Engineering,0.862,3487,3500,3200,3600,NTU,2021,No,NTU GES 2021,Environmental Engineering | NTU 2021,Environmental Engineering
Information Engineering & Media,College of Engineering,0.886,4325,4200,3900,4800,NTU,2021,No,NTU GES 2021,Information Engineering & Media | NTU 2021,Information Engineering & Media
Maritime Studies,College of Engineering,0.952,3763,3500,3500,4000,NTU,2021,No,NTU GES 2021,Maritime Studies | NTU 2021,Maritime Studies
Materials Engineering,College of Engineering,0.83,3801,3650,3500,4000,NTU,2021,No,NTU GES 2021,Materials Engineering | NTU 2021,Materials Engineering
Mechanical Engineering,College of Engineering,0.861,4006,3800,3570,4400,NTU,2021,No,NTU GES 2021,Mechanical Engineering | NTU 2021,Mechanical Engineering
"Art, Design & Media","College of Humanities, Arts, & Social Sciences",0.466,3182,3000,2650,3675,NTU,2021,No,NTU GES 2021,"Art, Design & Media | NTU 2021","Art, Design & Media"
Chinese,"College of Humanities, Arts, & Social Sciences",0.725,3483,3300,3053,3650,NTU,2021,No,NTU GES 2021,Chinese | NTU 2021,Chinese
Communication Studies,"College of Humanities, Arts, & Social Sciences",0.808,3548,3500,3000,3943,NTU,2021,No,NTU GES 2021,Communication Studies | NTU 2021,Communication Studies
Economics,"College of Humanities, Arts, & Social Sciences",0.883,3720,3650,3300,4000,NTU,2021,No,NTU GES 2021,Economics | NTU 2021,Economics
English,"College of Humanities, Arts, & Social Sciences",0.642,3354,3500,3000,3600,NTU,2021,No,NTU GES 2021,English | NTU 2021,English
History,"College of Humanities, Arts, & Social Sciences",0.667,3800,3675,3500,4000,NTU,2021,No,NTU GES 2021,History | NTU 2021,History
Inter-Disciplinary Double Major,"College of Humanities, Arts, & Social Sciences",0.75,3822,3650,3450,4180,NTU,2021,No,NTU GES 2021,Inter-Disciplinary Double Major | NTU 2021,Inter-Disciplinary Double Major
Linguistics & Multilingual Studies,"College of Humanities, Arts, & Social Sciences",0.702,3398,3300,3000,3850,NTU,2021,No,NTU GES 2021,Linguistics & Multilingual Studies | NTU 2021,Linguistics & Multilingual Studies
Philosophy,"College of Humanities, Arts, & Social Sciences",0.577,3502,3400,2915,4480,NTU,2021,No,NTU GES 2021,Philosophy | NTU 2021,Philosophy
Psychology,"College of Humanities, Arts, & Social Sciences",0.718,3362,3350,3000,3500,NTU,2021,No,NTU GES 2021,Psychology | NTU 2021,Psychology
Public Policy & Global Affairs,"College of Humanities, Arts, & Social Sciences",0.771,4105,3804,3500,4524,NTU,2021,No,NTU GES 2021,Public Policy & Global Affairs | NTU 2021,Public Policy & Global Affairs
Sociology,"College of Humanities, Arts, & Social Sciences",0.696,3567,3500,3200,3940,NTU,2021,No,NTU GES 2021,Sociology | NTU 2021,Sociology
Biological Sciences / Biomedical Sciences,College of Science,0.817,3569,3500,3260,3800,NTU,2021,No,NTU GES 2021,Biological Sciences / Biomedical Sciences | NTU 2021,Biological Sciences / Biomedical Sciences
Biomedical Sciences & Chinese Medicine,College of Science,0.773,3119,3100,2890,3300,NTU,2021,No,NTU GES 2021,Biomedical Sciences & Chinese Medicine | NTU 2021,Biomedical Sciences & Chinese Medicine
Chemistry & Biological Chemistry,College of Science,0.744,3501,3400,3100,3700,NTU,2021,No,NTU GES 2021,Chemistry & Biological Chemistry | NTU 2021,Chemistry & Biological Chemistry
Environmental Earth Systems Sciences,College of Science,0.913,3888,3950,3500,4300,NTU,2021,No,NTU GES 2021,Environmental Earth Systems Sciences | NTU 2021,Environmental Earth Systems Sciences
Mathematical Sciences / Mathematical Sciences & Economics,College of Science,0.756,4039,3806,3500,4500,NTU,2021,No,NTU GES 2021,Mathematical Sciences / Mathematical Sciences & Economics | NTU 2021,Mathematical Sciences / Mathematical Sciences & Economics
Physics & Applied Physics,College of Science,0.69,3793,3600,3384,4000,NTU,2021,No,NTU GES 2021,Physics & Applied Physics | NTU 2021,Physics & Applied Physics
